Nome_Municipio;SP_GESTOR;Total_Internacoes;Media_Permanencia_Dias;Latitude;Longitude
Gestão Estadual (SP);350000;7453199;23.07;-24.26352968556784;-46.80392032376483
São Paulo;355030;1615124;17.03;-23.5505;-46.6333
São José dos Campos;354990;350753;9.58;-22.3147;-49.0587
São Bernardo do Campo;354870;319536;14.53;-24.144492602640813;-47.304565339690576
Campinas;350950;262211;10.61;-22.9056;-47.0608
Santo André;354780;219921;6.26;-23.437101812868967;-48.272893601911434
Guarulhos;351880;205530;7.03;-23.24112448964293;-47.01483020380156
Santos;354850;177604;9.47;-23.297850102993692;-46.56920379763888
Ribeirão Preto;354340;175372;10.86;-21.1775;-47.8103
Jundiaí;352590;174392;8.68;-23.08641784327839;-49.226587198760164
Barueri;350570;173780;7.26;-21.948720472547677;-48.356966701629176
Sorocaba;355220;150294;7.41;-21.7845;-48.1789
Osasco;353440;146353;8.94;-23.001699361202213;-46.75822446711239
Piracicaba;353870;138572;7.3;-23.1896;-45.8841
São Caetano do Sul;354880;118393;7.18;-23.302631528553864;-49.27365737541314
Limeira;352690;111625;8.28;-23.17823685896156;-45.72220566922279
Araraquara;350320;111012;10.18;-22.374796808104325;-46.814083405331175
Ourinhos;353470;107365;9.2;-22.403153539087082;-48.704031444162254
São Carlos;354890;107335;7.12;-23.04499840769316;-46.49624080654673
Mauá;352940;101308;8.88;-23.99588130734052;-48.38858889564115
São José do Rio Preto;354980;99979;6.65;-23.47104267460244;-47.77192428962198
Guarujá;351870;98558;10.83;-21.358893777173446;-49.22998981326471
Indaiatuba;352050;87263;8.26;-22.743897016858217;-48.78254127195116
Mogi das Cruzes;353060;85475;5.37;-21.38797036377077;-49.046785981090146
Jacareí;352440;84902;7.51;-23.089196992915227;-46.548460060661576
Jaú;352530;80162;10.34;-22.186336715917665;-47.80908545242427
Diadema;351380;61135;7.78;-23.260427496141848;-47.909550485788515
Marília;352900;61067;12.07;-23.50717121052408;-48.6786682451728
Barretos;350550;60632;7.3;-22.85088090732333;-48.42586497572957
Cubatão;351350;54984;9.65;-23.43761500530825;-46.87297574610177
São Vicente;355100;53134;6.6;-21.394388004900325;-47.0854511977625
Paulínia;353650;50924;7.9;-24.069061598805103;-49.197665544583735
Avaré;350450;49892;12.39;-21.445730337463303;-48.31083683877067
Itapetininga;352230;48236;9.23;-24.023799041752575;-47.103821651398476
Rio Claro;354390;46929;5.74;-22.429053665129203;-46.905980719525246
Itapeva;352240;46503;7.41;-23.497793916427376;-49.4395572631421
Mogi Guaçu;353070;45795;8.26;-21.404953891636584;-48.49642781723559
Taubaté;355410;42034;14.86;-22.27192113584236;-46.673480520485164
Caraguatatuba;351050;41781;7.89;-22.469977748761544;-48.24837042314541
Americana;350160;41634;11.31;-23.486711238707805;-47.10932686918919
Itu;352390;40759;6.34;-21.701713099164927;-45.713065084306415
São João da Boa Vista;354910;40254;6.34;-23.982282586788727;-48.88068554960912
Lorena;352720;40045;8.15;-21.46579122365076;-46.55385908666083
Francisco Morato;351630;37710;4.91;-21.651018525510683;-48.68946946345863
Pindamonhangaba;353800;37111;10.31;-22.537242386671796;-46.69544162233011
Praia Grande;354100;35946;9.86;-22.259664343659082;-47.86739323653321
Suzano;355250;35531;6.24;-24.253815324926077;-47.16829577278295
Araras;350330;35317;11.33;-23.540695382461173;-47.69898301542844
Bragança Paulista;350760;34226;5.47;-21.42725695474855;-47.90385872943026
Santa Bárbara d'Oeste;354580;33798;7.32;-21.78059518000672;-48.745837577002995
Cruzeiro;351340;33650;8.32;-22.282618505924916;-45.59197218224423
Hortolândia;351907;33328;6.58;-23.99432069738119;-49.46672023109123
Campo Limpo Paulista;350960;31560;6.33;-22.999251622102157;-49.12949806779453
Guaratinguetá;351840;31102;6.99;-22.054846950971307;-45.84180534460577
Itatiba;352340;31019;4.96;-22.997937081873722;-48.46515343137823
Assis;350400;30318;5.49;-22.996790042980173;-46.606208728599995
Sertãozinho;355170;29263;6.33;-24.27283751525889;-47.14218404206121
São Roque;355060;28653;6.26;-22.460124945337864;-46.94924701241626
Leme;352670;27539;6.03;-23.57393376005737;-46.643789106487496
Itapira;352260;26883;7.25;-24.02582554100467;-48.702918654132795
Jaguariúna;352470;26301;6.71;-21.667589860036554;-46.54510739709374
Atibaia;350410;25420;11.99;-24.258763337965966;-48.5064949585208
Ubatuba;355540;25229;4.85;-23.656780551020507;-48.41677468785211
Adamantina;350010;25089;8.36;-23.557320689160342;-49.24989481702862
Vinhedo;355670;24769;6.27;-22.92317845020954;-46.56906610085534
Tatuí;355400;24574;5.78;-22.7394;-47.3316
Lins;352710;24317;6.38;-22.47980482584769;-46.80851332560768
Valinhos;355620;23710;8.35;-24.056552464391284;-45.694037159292854
Cajamar;350920;23709;5.86;-21.784524498470926;-46.279638726017346
São Sebastião;355070;23656;5.69;-21.831048584874697;-45.769157967468956
Dracena;351440;23207;8.02;-22.667238101658906;-48.6988719285295
Mairiporã;352850;21296;4.07;-22.449649176442378;-46.528474025328244
São José do Rio Pardo;354970;21243;4.43;-22.086247819937924;-47.41420390333248
Batatais;350590;20862;8.91;-24.094623841999265;-48.01554824627949
Santana de Parnaíba;354730;20555;5.11;-21.537700174609927;-47.16220436097029
Mococa;353050;20201;5.15;-22.68500417023286;-48.424585942471225
Ibitinga;351960;20119;5.68;-23.194653240250265;-45.91861564338733
Amparo;350190;20107;14.17;-22.300610857419493;-46.35045189299067
Mogi Mirim;353080;19325;6.56;-22.936963730797036;-46.979011122175365
Santa Cruz do Rio Pardo;354640;19178;5.43;-23.55484917377038;-46.67815667886605
