SP_GESTOR;Nome_Municipio;Estação;SP_CIDPRI;DIAGNOSTICO_DESCRICAO;TOTAL_DE_CASOS
350000;Gestão Estadual (SP);Outono;O800;Parto Único Espontâneo (Normal);53456
350000;Gestão Estadual (SP);Verão;O800;Parto Único Espontâneo (Normal);49513
350000;Gestão Estadual (SP);Primavera;A419;Sepse Não Especificada (Infecção Geral);48294
350000;Gestão Estadual (SP);Inverno;O800;Parto Único Espontâneo (Normal);45152
350000;Gestão Estadual (SP);Primavera;O800;Parto Único Espontâneo (Normal);44744
350000;Gestão Estadual (SP);Inverno;A419;Sepse Não Especificada (Infecção Geral);44239
350000;Gestão Estadual (SP);Outono;A419;Sepse Não Especificada (Infecção Geral);40408
350000;Gestão Estadual (SP);Primavera;I219;Infarto Agudo do Miocárdio (IAM);38846
350000;Gestão Estadual (SP);Inverno;J189;Pneumonia Não Especificada;38677
350000;Gestão Estadual (SP);Inverno;I219;Infarto Agudo do Miocárdio (IAM);37840
350000;Gestão Estadual (SP);Verão;A419;Sepse Não Especificada (Infecção Geral);33920
350000;Gestão Estadual (SP);Primavera;I500;I500;33546
350000;Gestão Estadual (SP);Inverno;I500;I500;32768
350000;Gestão Estadual (SP);Primavera;J189;Pneumonia Não Especificada;32382
350000;Gestão Estadual (SP);Verão;I219;Infarto Agudo do Miocárdio (IAM);31636
350000;Gestão Estadual (SP);Outono;I219;Infarto Agudo do Miocárdio (IAM);31244
350000;Gestão Estadual (SP);Outono;J189;Pneumonia Não Especificada;30309
350000;Gestão Estadual (SP);Outono;A90;Dengue Clássica;29939
350000;Gestão Estadual (SP);Inverno;I64;Acidente Vascular Cerebral (AVC);29693
350000;Gestão Estadual (SP);Outono;I64;Acidente Vascular Cerebral (AVC);29362
350000;Gestão Estadual (SP);Verão;I64;Acidente Vascular Cerebral (AVC);28723
350000;Gestão Estadual (SP);Primavera;I64;Acidente Vascular Cerebral (AVC);28444
350000;Gestão Estadual (SP);Verão;I500;I500;28004
355030;São Paulo;Outono;O800;Parto Único Espontâneo (Normal);25596
355030;São Paulo;Primavera;O800;Parto Único Espontâneo (Normal);24567
355030;São Paulo;Verão;O800;Parto Único Espontâneo (Normal);23569
350000;Gestão Estadual (SP);Outono;I500;I500;23500
350000;Gestão Estadual (SP);Inverno;J180;J180;22746
350000;Gestão Estadual (SP);Outono;A418;A418;22501
350000;Gestão Estadual (SP);Verão;N390;Infecção do Trato Urinário;22491
350000;Gestão Estadual (SP);Verão;J189;Pneumonia Não Especificada;21870
355030;São Paulo;Inverno;O800;Parto Único Espontâneo (Normal);21829
350000;Gestão Estadual (SP);Outono;N390;Infecção do Trato Urinário;21774
350000;Gestão Estadual (SP);Inverno;A499;A499;21719
350000;Gestão Estadual (SP);Primavera;J180;J180;21402
350000;Gestão Estadual (SP);Inverno;A418;A418;21262
350000;Gestão Estadual (SP);Outono;J180;J180;20847
350000;Gestão Estadual (SP);Inverno;N390;Infecção do Trato Urinário;20413
350000;Gestão Estadual (SP);Primavera;N390;Infecção do Trato Urinário;20225
350000;Gestão Estadual (SP);Primavera;A418;A418;19009
350000;Gestão Estadual (SP);Primavera;A499;A499;18535
350000;Gestão Estadual (SP);Verão;A418;A418;18269
350000;Gestão Estadual (SP);Primavera;N189;N189;16931
350000;Gestão Estadual (SP);Outono;A499;A499;16544
350000;Gestão Estadual (SP);Primavera;I200;I200;15799
355030;São Paulo;Outono;A90;Dengue Clássica;15268
350000;Gestão Estadual (SP);Outono;N189;N189;15068
350000;Gestão Estadual (SP);Verão;N189;N189;14685
350000;Gestão Estadual (SP);Primavera;Z302;Z302;14650
350000;Gestão Estadual (SP);Inverno;F192;F192;14584
350000;Gestão Estadual (SP);Outono;I200;I200;14580
350000;Gestão Estadual (SP);Inverno;N189;N189;14130
350000;Gestão Estadual (SP);Verão;J180;J180;13904
350000;Gestão Estadual (SP);Inverno;I200;I200;13860
350000;Gestão Estadual (SP);Verão;A499;A499;13726
350000;Gestão Estadual (SP);Inverno;J159;Pneumonia Bacteriana;13687
350000;Gestão Estadual (SP);Primavera;F192;F192;13362
350000;Gestão Estadual (SP);Outono;F192;F192;13299
350000;Gestão Estadual (SP);Primavera;N180;N180;13017
350000;Gestão Estadual (SP);Inverno;Z302;Z302;12894
350000;Gestão Estadual (SP);Inverno;N180;N180;12843
350000;Gestão Estadual (SP);Primavera;I509;I509;12700
355030;São Paulo;Primavera;O809;O809;12621
350000;Gestão Estadual (SP);Verão;F192;F192;12607
350000;Gestão Estadual (SP);Verão;I200;I200;12337
355030;São Paulo;Outono;O809;O809;12182
355030;São Paulo;Primavera;A419;Sepse Não Especificada (Infecção Geral);12038
350000;Gestão Estadual (SP);Primavera;J159;Pneumonia Bacteriana;11961
350000;Gestão Estadual (SP);Inverno;I509;I509;11791
355030;São Paulo;Verão;O809;O809;11602
355030;São Paulo;Inverno;O809;O809;11541
350000;Gestão Estadual (SP);Inverno;C61;C61;11264
350000;Gestão Estadual (SP);Primavera;C61;C61;11245
