Leito;Setores;Classificação;SP_GESTOR;Nome_Municipio;C_Leito
L-001;Centro Obstétrico/Maternidade;Amarelo;350000;Gestão Estadual (SP);2
L-002;Centro Obstétrico/Maternidade;Vermelho;350000;Gestão Estadual (SP);3
L-003;UTI Pediátrica;Amarelo;350000;Gestão Estadual (SP);2
L-004;Enfermaria;Vermelho;350000;Gestão Estadual (SP);3
L-005;Centro Obstétrico/Maternidade;Amarelo;350000;Gestão Estadual (SP);2
L-006;Enfermaria;Verde;350000;Gestão Estadual (SP);1
L-007;UTI Pediátrica;Vermelho;350000;Gestão Estadual (SP);3
L-008;UTI Pediátrica;Verde;350000;Gestão Estadual (SP);1
L-009;Centro Obstétrico/Maternidade;Vermelho;350000;Gestão Estadual (SP);3
L-010;UTI Pediátrica;Verde;350000;Gestão Estadual (SP);1
L-011;Pronto Socorro;Amarelo;350000;Gestão Estadual (SP);2
L-012;Enfermaria;Vermelho;350000;Gestão Estadual (SP);3
L-013;UTI Pediátrica;Verde;350000;Gestão Estadual (SP);1
L-014;Pronto Socorro;Vermelho;350000;Gestão Estadual (SP);3
L-015;Enfermaria;Amarelo;350000;Gestão Estadual (SP);2
L-016;Pronto Socorro;Amarelo;355030;São Paulo;2
L-017;Enfermaria;Amarelo;355030;São Paulo;2
L-018;Centro Obstétrico/Maternidade;Verde;355030;São Paulo;1
L-019;UTI Pediátrica;Amarelo;355030;São Paulo;2
L-020;Pronto Socorro;Verde;355030;São Paulo;1
L-021;UTI Pediátrica;Amarelo;355030;São Paulo;2
L-022;Centro Obstétrico/Maternidade;Amarelo;355030;São Paulo;2
L-023;Pronto Socorro;Amarelo;355030;São Paulo;2
L-024;Pronto Socorro;Amarelo;355030;São Paulo;2
L-025;Enfermaria;Amarelo;355030;São Paulo;2
L-026;Pronto Socorro;Verde;354990;São José dos Campos;1
L-027;Pronto Socorro;Vermelho;354990;São José dos Campos;3
L-028;UTI Pediátrica;Amarelo;354870;São Bernardo do Campo;2
L-029;Centro Obstétrico/Maternidade;Amarelo;354870;São Bernardo do Campo;2
L-030;UTI Pediátrica;Verde;350950;Campinas;1
L-031;UTI Pediátrica;Amarelo;350950;Campinas;2
L-032;Pronto Socorro;Verde;354780;Santo André;1
L-033;Centro Obstétrico/Maternidade;Vermelho;354780;Santo André;3
L-034;UTI Pediátrica;Amarelo;351880;Guarulhos;2
L-035;UTI Pediátrica;Amarelo;351880;Guarulhos;2
L-036;Pronto Socorro;Verde;354850;Santos;1
L-037;UTI Adulto;Amarelo;354850;Santos;2
L-038;Centro Obstétrico/Maternidade;Amarelo;354340;Ribeirão Preto;2
L-039;UTI Adulto;Vermelho;354340;Ribeirão Preto;3
